file_name,labels,category
L_817_tim_4_0.jpg,"$ 299,105.36",font_generat_dollar
L_790_Ins_5_0.jpg,"$ 749,770.39",font_generat_dollar
L_765_Gre_0_0.jpg,"$ 927,790.03",font_generat_dollar
L_75_Ooo_0_0.jpg,"$ 90,285.17",font_generat_dollar
L_72_Uni_0_0.jpg,"$ 659,666.53",font_generat_dollar
L_659_Lov_7_0.jpg,"$ 336,263.32",font_generat_dollar
L_626_Cas_0_0.jpg,"$ 497,532.8",font_generat_dollar
L_504_Hav_t_0.jpg,"$ 984,512.65",font_generat_dollar
L_503_Dar_6_0.jpg,"$ 467,270.28",font_generat_dollar
L_40_Uni_4_0.jpg,"$ 449,893.41",font_generat_dollar
L_319_Hon_0_0.jpg,"$ 658,337.24",font_generat_dollar
L_239_Uni_3_0.jpg,"$ 252,838.18",font_generat_dollar
L_109_Hel_7_0.jpg,"$ 279,683.17",font_generat_dollar
Image (4)-07.jpg,08-08-2019,real_date
ed060c51-44.jpg,03-08-14,real_date
de9cbfa7-94.jpg,22/06/24,real_date
d7480790-35.jpg,03 07 24,real_date
c_520_CRE_3_0.jpg,03-08-61,font_generat_date
c_462_Com_3_0.jpg,5117-04-27,font_generat_date
c_444_Jam_0_0.jpg,6216-02-05,font_generat_date
c_300_Fut_4_0.jpg,9608-12-25,font_generat_date
c_296_hel_6_0.jpg,23/08/5475,font_generat_date
c_128_Zey_3_0.jpg,10/07/4101,font_generat_date
c_1072_Fut_t_0.jpg,02-27-89,font_generat_date
b_car_006432.png,"100.000,-",orand
b_car_006338.png,124.987.-,orand
b_car_006179.png,37000.-,orand
b_car_005920.png,355.068.,orand
b_car_005794.png,19050=,orand
b_car_005349.png,314.08,orand
b_car_005093.png,23000,orand
b_car_004613.png,233468-,orand
b_car_004067.png,27.900.,orand
b_car_003902.png,208.000=,orand
a_car_001741.png,65000 -,orand
a_car_001650.png,4000 =,orand
a_car_001641.png,"350, -",orand
a_car_001176.png,12471,orand
a_car_000883.png,10 000,orand
a_car_000797.png,248,orand
a_car_000410.png,12,orand
a_car_000310.png,15.397=,orand
923_bg0_Fut_1731292710_936.jpg,"*434,938.11**",star_digit_label
888_bg4_Fut_1731292710_118.jpg,807421.47,star_digit_label
728_bg3_Fut_1731292709_651.jpg,"****504,400.43*",star_digit_label
727_bgi_Uni_1731292709_319.jpg,"******393,826.86**",star_digit_label
704_bg6_Bod_1731292709_142.jpg,"*****420,391.24",star_digit_label
665_bgt_Uni_1731292709_843.jpg,"***200,366.27****",star_digit_label
630_bg4_Uni_1731292709_975.jpg,"******902,240.43",star_digit_label
605_bg4_hel_1731292709_532.jpg,"884,187.68*",star_digit_label
596_bgt_Did_1731292709_707.jpg,"******88,557.18***",star_digit_label
539_bgt_Fut_1731292709_757.jpg,"**199,703.56**",star_digit_label
535_bg4_Hel_1731292709_933.jpg,"******399,438.66**",star_digit_label
515_bg5_Uni_1731292709_327.jpg,829193.58,star_digit_label
490_bg5_Fut_1731292709_380.jpg,"***592,139.37****",star_digit_label
436_bg3_Uni_1731292709_285.jpg,"***50,861.26***",star_digit_label
431_bg4_Fut_1731292709_646.jpg,"*121,447.58***",star_digit_label
342_bg0_Did_1731292709_995.jpg,"*******111,535.51****",star_digit_label
306_bgt_Fut_1731292709_832.jpg,"861,413.51**",star_digit_label
2daf1bd0-73.jpg,27 08 23,real_date
22aa5f01-128.jpg,30/10/23,real_date
193_bg5_GEO_1731292708_220.jpg,"******495,893.47",star_digit_label
b_car_005827.png,406642-,orand
a_car_000484.png,27757,orand
L_172_Ott_6_0.jpg,"$ 957,222.08",font_generat_dollar
L_16_G_a_3_0.jpg,"$ 422,394.75",font_generat_dollar
381_bg5_Ari_1731292709_466.jpg,"****669,903.13**",star_digit_label
L_114_Hel_5_0.jpg,"$ 12,094.8",font_generat_dollar
Image (1)-20.jpg,14 07 2008,real_date
c_214_Cas_7_0.jpg,09-08-35,font_generat_date
L_7_Uni_i_0.jpg,"$ 110,618.45",font_generat_dollar
L_932_Lea_4_0.jpg,"$ 700,958.23",font_generat_dollar
L_850_Uni_i_0.jpg,"$ 716,838.06",font_generat_dollar
b_car_003578.png,4.500.-,orand
cacdb0a1-45.jpg,09/03/1865,real_date
333_bg6_Fut_1731292709_524.jpg,"******92,965.85**",star_digit_label
228_bg5_Uni_1731292709_951.jpg,"*******436,911.32***",star_digit_label
c_394_Gre_0_0.jpg,10-04-67,font_generat_date
L_246_Fut_4_0.jpg,"$ 801,138.93",font_generat_dollar
b_car_004220.png,43480,orand
9a6c96cd-4.jpg,29 10 23,real_date
b99dbd12-12.jpg,28.8.2022,real_date
L_739_Fut_5_0.jpg,"$ 712,268.15",font_generat_dollar
c_468_Ari_7_0.jpg,4959-05-27,font_generat_date
b_car_004482.png,400.000.-,orand
Image (5)-02.jpg,03/04/2005,real_date
L_321_Fut_7_0.jpg,"$ 716,592.54",font_generat_dollar
L_705_Ari_0_0.jpg,"$ 645,072.26",font_generat_dollar
b_car_006099.png,66.580=,orand
Image (2)-11.jpg,"November 11, 2015",real_date
a_car_001959.png,2816,orand
667_bg7_G_a_1731292709_423.jpg,38977.61,star_digit_label
b_car_005052.png,"7.646,",orand
c_562_hel_5_0.jpg,12-05-31,font_generat_date
04923ed3-11.jpg,25/01/2023,real_date
L_698_Ree_7_0.jpg,"$ 700,588.85",font_generat_dollar
b_car_004326.png,32.8,orand
c_184_gil_5_0.jpg,04-20-57,font_generat_date
c_418_Str_t_0.jpg,05-12-53,font_generat_date
35_bg7_hel_1731292708_331.jpg,"******399,563.72*",star_digit_label
b_car_003003.png,180.000.-,orand
a_car_001260.png,"2,531.-",orand
b_car_006246.png,270.000.-,orand
991_bg3_Bod_1731292710_830.jpg,"*******608,298.06",star_digit_label
Image-11.jpg,01 12 2003,real_date
L_70_Uni_0_0.jpg,"$ 642,510.49",font_generat_dollar
b_car_004083.png,19.5,orand
714_bg3_Uni_1731292709_285.jpg,"***608,455.37*",star_digit_label
824_bg3_Uni_1731292709_676.jpg,"**21,280.45",star_digit_label
L_236_Fut_0_0.jpg,"$ 732,018.47",font_generat_dollar
a_car_001855.png,"20939,=",orand
c_1150_Rut_4_0.jpg,06-05-29,font_generat_date
Image-16.jpg,17 08 1997,real_date
724_bg3_Fut_1731292709_861.jpg,"******887,402.86",star_digit_label
a_car_000266.png,2.0773,orand
613_bg4_tim_1731292709_226.jpg,"******958,968.23**",star_digit_label
254_bg4_Uni_1731292709_683.jpg,"***785,066.83",star_digit_label
L_49_Fut_0_0.jpg,"$ 987,124.95",font_generat_dollar
b_car_005521.png,"80410,-",orand
L_954_Lov_0_0.jpg,"$ 113,673.85",font_generat_dollar
a_car_000603.png,19396,orand
221_bg7_Uni_1731292709_472.jpg,"****734,397.31",star_digit_label
Image-13.jpg,23 05 2014,real_date
Image (6)-11.jpg,09 06 2003,real_date
b_car_003383.png,310424=,orand
c_378_Hel_4_0.jpg,7992-08-03,font_generat_date
L_156_Hel_0_0.jpg,"$ 5,675.72",font_generat_dollar
7f80f4ba-157.jpg,30/5/1997,real_date
a_car_001856.png,28.196,orand
655_bg7_Uni_1731292709_297.jpg,"****695,415.83",star_digit_label
c_400_Hon_3_0.jpg,01-14-14,font_generat_date
557_bgt_Uni_1731292709_670.jpg,"813,378.94**",star_digit_label
L_284_Fut_t_0.jpg,"$ 877,375.25",font_generat_dollar
a_car_002057.png,20,orand
b_car_005690.png,"200.000,_",orand
899_bg5_Ari_1731292710_842.jpg,"***193,927.01***",star_digit_label
b_car_006417.png,45954,orand
b_car_005786.png,125.580.,orand
L_191_Uni_3_0.jpg,"$ 796,458.74",font_generat_dollar
8675c9bb-78.jpg,15 01 23,real_date
Image (4)-14.jpg,19/01/2012,real_date
L_782_Uni_7_0.jpg,"$ 826,096.4",font_generat_dollar
a_car_000801.png,2969,orand
750_bg5_Uni_1731292709_103.jpg,"597,141.54***",star_digit_label
c_410_Bod_7_0.jpg,25/07/8282,font_generat_date
c_1112_Did_6_0.jpg,24/01/3169,font_generat_date
b_car_004020.png,78000=,orand
b_car_003380.png,50.000.,orand
c_156_Fut_6_0.jpg,4422-02-11,font_generat_date
L_161_Ree_3_0.jpg,"$ 218,562.42",font_generat_dollar
L_967_Ste_0_0.jpg,"$ 991,854.3",font_generat_dollar
L_229_hel_i_0.jpg,"$ 813,365.12",font_generat_dollar
c_1076_Apa_7_0.jpg,26/10/3934,font_generat_date
b_car_003061.png,200,orand
c_284_Dar_t_0.jpg,11/10/5597,font_generat_date
L_667_hel_0_0.jpg,"$ 309,029.49",font_generat_dollar
b_car_005806.png,43800-,orand
389_bg4_Uni_1731292709_692.jpg,"****148,749.95****",star_digit_label
c_162_CON_7_0.jpg,7024-12-07,font_generat_date
b_car_003522.png,25000-,orand
bbc77f4b-113.jpg,11 12 24,real_date
299_bg3_Uni_1731292709_164.jpg,"*****545,768.4**",star_digit_label
L_885_Dar_5_0.jpg,"$ 78,017.08",font_generat_dollar
L_274_Str_3_0.jpg,"$ 71,868.81",font_generat_dollar
407_bg5_Fut_1731292709_875.jpg,"***499,170.74****",star_digit_label
c_322_Fut_5_0.jpg,08-23-54,font_generat_date
L_988_Mes_7_0.jpg,"$ 691,639.81",font_generat_dollar
L_34_hel_0_0.jpg,"$ 424,578.43",font_generat_dollar
a_car_001449.png,109,orand
c_122_Hel_5_0.jpg,07/07/8625,font_generat_date
L_102_Uni_0_0.jpg,"$ 720,604.67",font_generat_dollar
B4.png,21 2 2003,real_date
c_508_Uni_5_0.jpg,07-10-57,font_generat_date
b_car_003327.png,150,orand
b_car_003861.png,377.35,orand
819_bg3_tim_1731292709_334.jpg,832369.15,star_digit_label
915_bg5_Uni_1731292710_873.jpg,"****992,922.1*",star_digit_label
144_bg7_Did_1731292708_709.jpg,"****244,621.85*",star_digit_label
L_98_bas_0_0.jpg,"$ 138,119.59",font_generat_dollar
L_88_Fut_7_0.jpg,"$ 889,231.03",font_generat_dollar
396_bg6_Fut_1731292709_858.jpg,"*******167,383.03",star_digit_label
b_car_003480.png,22.890-,orand
b_car_005115.png,341.5,orand
b_car_005788.png,228000,orand
41_bg0_hel_1731292708_936.jpg,691367.73,star_digit_label
L_825_Rut_7_0.jpg,"$ 909,489.1",font_generat_dollar
a_car_000711.png,35000,orand
c_432_Fut_0_0.jpg,4722-11-27,font_generat_date
b_car_005750.png,20.000.-,orand
501_bgi_Did_1731292709_260.jpg,"*******364,075.48**",star_digit_label
c_208_tim_7_0.jpg,09-10-84,font_generat_date
99_bg6_hel_1731292708_920.jpg,"*****563,542.12*",star_digit_label
L_292_Bod_0_0.jpg,"$ 558,269.83",font_generat_dollar
